"YEAR" "DAY_MONTH" "TIME24HR" "VESSEL" "CRUISE" "HAUL" "HAULJOIN" "SPECIES_CODE" "WEIGHT" "NUMBER_FISH" "SUBSAMPLE" "DURATION" "DISTANCE_FISHED" "NET_WIDTH" "STATIONID" "STRATUM" "START_LATITUDE" "END_LATITUDE" "START_LONGITUDE" "END_LONGITUDE" "BOTTOM_DEPTH" "SURFACE_TEMPERATURE" "GEAR_TEMPERATURE" "MONTH" "DAY" "doy" "CPUE_NOHA" "id_length" "dist"
"1117" 2016 "20/07" "16:15" 94 201601 170 -15812 21740 299.24 435 1 0.516 2.881 16.955 "O-28" 61 59.65239 59.66842 -175.13579 -175.09575 125 11.5 2.5 7 20 201 89.0529282496463 114843 0
"1118" 2016 "20/07" "12:59" 94 201601 169 -15811 21740 439.132 1173 1 0.531 2.818 17.126 "O-29" 61 59.67801 59.6542 -175.87676 -175.85959 137 10.9 1.6 7 20 201 243.053054689962 114767 0
"1119" 2016 "20/07" "10:13" 94 201601 168 -15810 21740 532.9 1972 1 0.344 1.879 17.029 "P-29" 61 60.00616 59.99205 -175.91106 -175.92956 129 10.8 1.5 7 20 201 616.298321640281 114681 0
"1120" 2016 "20/07" "07:25" 94 201601 167 -15809 21740 625.207 1439 2 0.522 2.897 17.036 "P-28" 61 60.00087 60.00078 -175.25415 -175.30593 118 11.2 2.2 7 20 201 291.57122892633 114616 0
"1121" 2016 "26/07" "13:13" 94 201601 191 -15808 21740 3.006 7 1 0.522 2.778 16.741 "G-25" 61 57.0085 56.99299 -172.66784 -172.63208 122 12 4.8 7 26 207 1.50516600927466 114610 0
"1122" 2016 "26/07" "10:19" 94 201601 190 -15807 21740 2724.617 4327 2 0.527 2.949 16.441 "H-25" 61 57.36108 57.33456 -172.81273 -172.8146 117 11.7 4.7 7 26 207 892.449998823336 114570 0
"1123" 2016 "26/07" "07:46" 94 201601 189 -15806 21740 353.58 438 1 0.529 2.92 17.25 "I-25" 61 57.67675 57.65059 -172.79363 -172.78909 119 12.1 4.6 7 26 207 86.9565217391304 114538 0
"1124" 2016 "26/07" "11:48" 162 201601 196 -15805 21740 2331.457 4187 2 0.491 2.732 17.193 "F-25" 61 56.69415 56.67022 -172.57581 -172.56561 135 11.9 4.7 7 26 207 891.395839448773 121569 0
"1125" 2016 "26/07" "08:08" 162 201601 195 -15804 21740 6071.738 9212 12 0.497 2.743 17.534 "G-26" 61 57.01199 56.99235 -173.27735 -173.25006 143 11.6 4.4 7 26 207 1915.34547264268 121534 0
"1126" 2016 "25/07" "18:40" 162 201601 194 -15803 21740 392.62 638 2 0.48 2.604 17.105 "H-26" 61 57.34414 57.3207 -173.32933 -173.32849 121 11.7 4.7 7 25 206 143.237463017569 121496 0
